sku,name_ar,name_en,description_ar,description_en,brand_slug,category_slug,base_price_egp,vat_exempt,authenticity,specs_json,status
HP-CF217A-COMP,خرطوشة تونر HP 17A أسود متوافقة,HP 17A Black Compatible Toner Cartridge,"تونر متوافق HP 17A للطابعات LaserJet Pro M102a, M102w, MFP M130a, M130fn. إنتاجية حتى 1,600 صفحة.","Compatible HP 17A toner for HP LaserJet Pro M102a, M102w, MFP M130a, M130fn. Up to 1,600 pages.",hp,toner-cartridges,390,FALSE,COMPATIBLE,"{""pageYield"": ""1,600 pages"", ""color"": ""Black"", ""partNumber"": ""CF217A"", ""compatiblePrinters"": ""LaserJet Pro M102a, M102w, MFP M130a, M130fn""}",ACTIVE
HP-CE255A-COMP,خرطوشة تونر HP 55A أسود متوافقة,HP 55A Black Compatible Toner Cartridge,"تونر متوافق HP 55A للطابعات LaserJet P3015, MFP M521. إنتاجية حتى 6,000 صفحة.","Compatible HP 55A toner for HP LaserJet P3015, MFP M521. Up to 6,000 pages.",hp,toner-cartridges,630,FALSE,COMPATIBLE,"{""pageYield"": ""6,000 pages"", ""color"": ""Black"", ""partNumber"": ""CE255A"", ""compatiblePrinters"": ""LaserJet P3015, MFP M521""}",ACTIVE
HP-Q7551A-COMP,خرطوشة تونر HP 51A أسود متوافقة,HP 51A Black Compatible Toner Cartridge,"تونر متوافق HP 51A للطابعات LaserJet P3005, MFP M3027, M3035. إنتاجية حتى 6,500 صفحة.","Compatible HP 51A toner for HP LaserJet P3005, MFP M3027, M3035. Up to 6,500 pages.",hp,toner-cartridges,690,FALSE,COMPATIBLE,"{""pageYield"": ""6,500 pages"", ""color"": ""Black"", ""partNumber"": ""Q7551A"", ""compatiblePrinters"": ""LaserJet P3005, MFP M3027, M3035""}",ACTIVE
HP-CF214A-COMP,خرطوشة تونر HP 14A أسود متوافقة,HP 14A Black Compatible Toner Cartridge,"تونر متوافق HP 14A للطابعات LaserJet Enterprise 700 M712. إنتاجية حتى 10,000 صفحة.","Compatible HP 14A toner for HP LaserJet Enterprise 700 M712. Up to 10,000 pages.",hp,toner-cartridges,1040,FALSE,COMPATIBLE,"{""pageYield"": ""10,000 pages"", ""color"": ""Black"", ""partNumber"": ""CF214A"", ""compatiblePrinters"": ""LaserJet Enterprise 700 M712""}",ACTIVE
HP-Q6511A-COMP,خرطوشة تونر HP 11A أسود متوافقة,HP 11A Black Compatible Toner Cartridge,"تونر متوافق HP 11A للطابعات LaserJet 2410, 2420, 2430. إنتاجية حتى 6,000 صفحة.","Compatible HP 11A toner for HP LaserJet 2410, 2420, 2430. Up to 6,000 pages.",hp,toner-cartridges,800,FALSE,COMPATIBLE,"{""pageYield"": ""6,000 pages"", ""color"": ""Black"", ""partNumber"": ""Q6511A"", ""compatiblePrinters"": ""LaserJet 2410, 2420, 2430""}",ACTIVE
HP-Q7516A-COMP,خرطوشة تونر HP 16A أسود متوافقة,HP 16A Black Compatible Toner Cartridge,"تونر متوافق HP 16A للطابعات LaserJet 5200. إنتاجية حتى 12,000 صفحة.","Compatible HP 16A toner for HP LaserJet 5200. Up to 12,000 pages.",hp,toner-cartridges,1090,FALSE,COMPATIBLE,"{""pageYield"": ""12,000 pages"", ""color"": ""Black"", ""partNumber"": ""Q7516A"", ""compatiblePrinters"": ""LaserJet 5200""}",ACTIVE
HP-W1500A-COMP,خرطوشة تونر HP 150A أسود متوافقة,HP 150A Black Compatible Toner Cartridge,"تونر متوافق HP 150A للطابعات HP Laser 150a, 150nw, MFP 178nw, 179fnw. إنتاجية حتى 975 صفحة.","Compatible HP 150A toner for HP HP Laser 150a, 150nw, MFP 178nw, 179fnw. Up to 975 pages.",hp,toner-cartridges,520,FALSE,COMPATIBLE,"{""pageYield"": ""975 pages"", ""color"": ""Black"", ""partNumber"": ""W1500A"", ""compatiblePrinters"": ""HP Laser 150a, 150nw, MFP 178nw, 179fnw""}",ACTIVE
HP-W1510A-COMP,خرطوشة تونر HP 151A أسود متوافقة,HP 151A Black Compatible Toner Cartridge,"تونر متوافق HP 151A للطابعات HP Laser 150a, MFP 178nw, 179fnw. إنتاجية حتى 975 صفحة.","Compatible HP 151A toner for HP HP Laser 150a, MFP 178nw, 179fnw. Up to 975 pages.",hp,toner-cartridges,550,FALSE,COMPATIBLE,"{""pageYield"": ""975 pages"", ""color"": ""Black"", ""partNumber"": ""W1510A"", ""compatiblePrinters"": ""HP Laser 150a, MFP 178nw, 179fnw""}",ACTIVE
HP-CF230A-COMP,خرطوشة تونر HP 30A أسود متوافقة,HP 30A Black Compatible Toner Cartridge,"تونر متوافق HP 30A للطابعات LaserJet Pro M203, MFP M227. إنتاجية حتى 1,600 صفحة.","Compatible HP 30A toner for HP LaserJet Pro M203, MFP M227. Up to 1,600 pages.",hp,toner-cartridges,400,FALSE,COMPATIBLE,"{""pageYield"": ""1,600 pages"", ""color"": ""Black"", ""partNumber"": ""CF230A"", ""compatiblePrinters"": ""LaserJet Pro M203, MFP M227""}",ACTIVE
HP-CF248A-COMP,خرطوشة تونر HP 48A أسود متوافقة,HP 48A Black Compatible Toner Cartridge,"تونر متوافق HP 48A للطابعات LaserJet Pro M15a, M15w, MFP M28a, M28w. إنتاجية حتى 1,000 صفحة.","Compatible HP 48A toner for HP LaserJet Pro M15a, M15w, MFP M28a, M28w. Up to 1,000 pages.",hp,toner-cartridges,370,FALSE,COMPATIBLE,"{""pageYield"": ""1,000 pages"", ""color"": ""Black"", ""partNumber"": ""CF248A"", ""compatiblePrinters"": ""LaserJet Pro M15a, M15w, MFP M28a, M28w""}",ACTIVE
HP-CF289A-COMP,خرطوشة تونر HP 89A أسود متوافقة,HP 89A Black Compatible Toner Cartridge,"تونر متوافق HP 89A للطابعات LaserJet Enterprise M507, MFP M528. إنتاجية حتى 5,000 صفحة.","Compatible HP 89A toner for HP LaserJet Enterprise M507, MFP M528. Up to 5,000 pages.",hp,toner-cartridges,920,FALSE,COMPATIBLE,"{""pageYield"": ""5,000 pages"", ""color"": ""Black"", ""partNumber"": ""CF289A"", ""compatiblePrinters"": ""LaserJet Enterprise M507, MFP M528""}",ACTIVE
HP-CF287A-COMP,خرطوشة تونر HP 87A أسود متوافقة,HP 87A Black Compatible Toner Cartridge,"تونر متوافق HP 87A للطابعات LaserJet Enterprise M506, MFP M527. إنتاجية حتى 9,000 صفحة.","Compatible HP 87A toner for HP LaserJet Enterprise M506, MFP M527. Up to 9,000 pages.",hp,toner-cartridges,750,FALSE,COMPATIBLE,"{""pageYield"": ""9,000 pages"", ""color"": ""Black"", ""partNumber"": ""CF287A"", ""compatiblePrinters"": ""LaserJet Enterprise M506, MFP M527""}",ACTIVE
HP-CF259A-COMP,خرطوشة تونر HP 59A أسود متوافقة بشريحة,HP 59A Black Compatible Toner Cartridge with Chip,"تونر متوافق HP 59A مزود بشريحة للطابعات LaserJet Pro M304a, M404n, M404dn, MFP M428dw, M428fdn. إنتاجية حتى 3,000 صفحة.","Compatible HP 59A toner with chip for LaserJet Pro M304a, M404n, M404dn, MFP M428dw, M428fdn. Up to 3,000 pages.",hp,toner-cartridges,580,FALSE,COMPATIBLE,"{""pageYield"": ""3,000 pages"", ""color"": ""Black"", ""partNumber"": ""CF259A"", ""chip"": true, ""compatiblePrinters"": ""LaserJet Pro M304a, M404, MFP M428""}",ACTIVE
HP-CF219A-DRUM-COMP,وحدة أسطوانة HP 19A متوافقة,HP 19A Compatible Imaging Drum Unit,"وحدة أسطوانة تصوير متوافقة HP 19A للطابعات LaserJet Pro M102, MFP M130. إنتاجية حتى 12,000 صفحة.","Compatible HP 19A imaging drum for LaserJet Pro M102, MFP M130. Up to 12,000 pages.",hp,toner-cartridges,430,FALSE,COMPATIBLE,"{""pageYield"": ""12,000 pages"", ""type"": ""Imaging Drum"", ""partNumber"": ""CF219A"", ""compatiblePrinters"": ""LaserJet Pro M102, MFP M130""}",ACTIVE
HP-CF232A-DRUM-COMP,وحدة أسطوانة HP 32A متوافقة,HP 32A Compatible Imaging Drum Unit,"وحدة أسطوانة تصوير متوافقة HP 32A للطابعات LaserJet Pro M203, MFP M227. إنتاجية حتى 23,000 صفحة.","Compatible HP 32A imaging drum for LaserJet Pro M203, MFP M227. Up to 23,000 pages.",hp,toner-cartridges,460,FALSE,COMPATIBLE,"{""pageYield"": ""23,000 pages"", ""type"": ""Imaging Drum"", ""partNumber"": ""CF232A"", ""compatiblePrinters"": ""LaserJet Pro M203, MFP M227""}",ACTIVE
HP-CE505A-CF280A-COMP,خرطوشة تونر HP 05A / 80A أسود متوافقة,HP 05A / 80A Black Compatible Toner Cartridge,"تونر متوافق HP 05A للطابعات LaserJet P2035, P2055 أو HP 80A للطابعات LaserJet Pro M401, MFP M425. إنتاجية 2,300 إلى 2,700 صفحة.","Compatible HP 05A (CE505A) for LaserJet P2035, P2055 or HP 80A (CF280A) for LaserJet Pro M401, MFP M425. Yield 2,300-2,700 pages.",hp,toner-cartridges,330,FALSE,COMPATIBLE,"{""pageYield"": ""2,300-2,700 pages"", ""color"": ""Black"", ""partNumbers"": ""CE505A / CF280A"", ""compatiblePrinters"": ""LaserJet P2035, P2055, Pro M401, MFP M425""}",ACTIVE
CANON-CRG057-COMP,خرطوشة تونر Canon 057 أسود متوافقة,Canon 057 Black Compatible Toner Cartridge,"تونر متوافق Canon 057 للطابعات imageCLASS LBP223dw, LBP226dw, LBP228x, MF443dw, MF445dw, MF446x, MF449x. إنتاجية حتى 3,100 صفحة.","Compatible Canon 057 toner for imageCLASS LBP223dw, LBP226dw, MF443dw, MF445dw, MF446x. Up to 3,100 pages.",canon,toner-cartridges,580,FALSE,COMPATIBLE,"{""pageYield"": ""3,100 pages"", ""color"": ""Black"", ""partNumber"": ""3009C002"", ""compatiblePrinters"": ""LBP223dw, LBP226dw, MF443dw, MF446x""}",ACTIVE
CANON-CRG052-COMP,خرطوشة تونر Canon 052 أسود متوافقة,Canon 052 Black Compatible Toner Cartridge,"تونر متوافق Canon 052 للطابعات imageCLASS LBP212dw, LBP214dw, LBP215x, MF421dw, MF426dw, MF428x, MF429x. إنتاجية حتى 3,100 صفحة.","Compatible Canon 052 toner for imageCLASS LBP212dw, LBP214dw, LBP215x, MF421dw, MF426dw, MF428x. Up to 3,100 pages.",canon,toner-cartridges,490,FALSE,COMPATIBLE,"{""pageYield"": ""3,100 pages"", ""color"": ""Black"", ""partNumber"": ""2199C002"", ""compatiblePrinters"": ""LBP212dw, LBP214dw, LBP215x, MF421dw, MF428x""}",ACTIVE
HP-CF410A-SET-COMP,طقم تونر ملون HP 410A (CF) متوافق,HP 410A (CF) Compatible Color Toner Set,"طقم تونر ألوان متوافق HP 410A يشمل الأسود والسيان والماجنتا والأصفر للطابعات Color LaserJet Pro M452, MFP M477. إنتاجية الأسود حتى 2,300 صفحة.","Compatible HP 410A color toner set (CMYK) for Color LaserJet Pro M452, MFP M477. Black yield up to 2,300 pages.",hp,toner-cartridges,2880,FALSE,COMPATIBLE,"{""pageYield"": ""2,300 pages (Black)"", ""colors"": ""CMYK"", ""partNumbers"": ""CF410A/CF411A/CF412A/CF413A"", ""compatiblePrinters"": ""Color LaserJet Pro M452, MFP M477""}",ACTIVE
HP-CF410X-SET-COMP,طقم تونر ملون HP 410X (CE) متوافق,HP 410X (CE) Compatible Color Toner Set,"طقم تونر ألوان متوافق HP 410X يشمل الأسود والسيان والماجنتا والأصفر للطابعات Color LaserJet Pro M452, MFP M477. إنتاجية الأسود حتى 6,500 صفحة.","Compatible HP 410X color toner set (CMYK) for Color LaserJet Pro M452, MFP M477. Black yield up to 6,500 pages.",hp,toner-cartridges,3220,FALSE,COMPATIBLE,"{""pageYield"": ""6,500 pages (Black)"", ""colors"": ""CMYK"", ""partNumbers"": ""CF410X/CF411X/CF412X/CF413X (high yield)"", ""compatiblePrinters"": ""Color LaserJet Pro M452, MFP M477""}",ACTIVE
HP-W2030A-SET-COMP,طقم تونر ملون HP 415A متوافق,HP 415A Compatible Color Toner Set,"طقم تونر ألوان متوافق HP 415A يشمل الأسود والسيان والماجنتا والأصفر للطابعات Color LaserJet Pro M454, MFP M479. إنتاجية الأسود حتى 2,400 صفحة.","Compatible HP 415A color toner set (CMYK) for Color LaserJet Pro M454, MFP M479. Black yield up to 2,400 pages.",hp,toner-cartridges,3680,FALSE,COMPATIBLE,"{""pageYield"": ""2,400 pages (Black)"", ""colors"": ""CMYK"", ""partNumbers"": ""W2030A/W2031A/W2032A/W2033A"", ""compatiblePrinters"": ""Color LaserJet Pro M454, MFP M479""}",ACTIVE
HP-W2070A-SET-COMP,طقم تونر ملون HP 117A متوافق,HP 117A Compatible Color Toner Set,"طقم تونر ألوان متوافق HP 117A يشمل الأسود والسيان والماجنتا والأصفر للطابعات HP Color Laser 150a, MFP 178nw, 179fnw. إنتاجية الأسود حتى 1,000 صفحة.","Compatible HP 117A color toner set (CMYK) for HP Color Laser 150a, MFP 178nw, 179fnw. Black yield up to 1,000 pages.",hp,toner-cartridges,4020,FALSE,COMPATIBLE,"{""pageYield"": ""1,000 pages (Black)"", ""colors"": ""CMYK"", ""partNumbers"": ""W2070A/W2071A/W2072A/W2073A"", ""compatiblePrinters"": ""HP Color Laser 150a, MFP 178nw, 179fnw""}",ACTIVE
HP-W2210A-SET-COMP,طقم تونر ملون HP 207A متوافق,HP 207A Compatible Color Toner Set,"طقم تونر ألوان متوافق HP 207A يشمل الأسود والسيان والماجنتا والأصفر للطابعات Color LaserJet Pro M255, MFP M282, M283. إنتاجية الأسود حتى 1,350 صفحة.","Compatible HP 207A color toner set (CMYK) for Color LaserJet Pro M255, MFP M282, M283. Black yield up to 1,350 pages.",hp,toner-cartridges,4370,FALSE,COMPATIBLE,"{""pageYield"": ""1,350 pages (Black)"", ""colors"": ""CMYK"", ""partNumbers"": ""W2210A/W2211A/W2212A/W2213A"", ""compatiblePrinters"": ""Color LaserJet Pro M255, MFP M282, M283""}",ACTIVE
HP-953-OJ-SET-COMP,طقم أحبار HP 953 للطابعات OfficeJet متوافق,HP 953 Compatible Ink Set for HP OfficeJet,"طقم حبر متوافق HP 953 يشمل الأسود والسيان والماجنتا والأصفر لطابعات OfficeJet Pro 7720, 7730, 7740, 8210, 8710, 8720, 8730.","Compatible HP 953 ink set (CMYK) for HP OfficeJet Pro 7720, 7730, 7740, 8210, 8710, 8720, 8730.",hp,ink-cartridges,3740,FALSE,COMPATIBLE,"{""colors"": ""CMYK"", ""partNumbers"": ""F6U12AE/F6U13AE/F6U14AE/F6U15AE"", ""compatiblePrinters"": ""OfficeJet Pro 7720, 7730, 7740, 8210, 8710, 8720, 8730""}",ACTIVE
HP-935-OJ-SET-COMP,طقم أحبار HP 935 للطابعات OfficeJet متوافق,HP 935 Compatible Ink Set for HP OfficeJet,"طقم حبر متوافق HP 935 يشمل الأسود والسيان والماجنتا والأصفر لطابعات OfficeJet Pro 6230, 6820, 6830.","Compatible HP 935 ink set (CMYK) for HP OfficeJet Pro 6230, 6820, 6830.",hp,ink-cartridges,3450,FALSE,COMPATIBLE,"{""colors"": ""CMYK"", ""partNumbers"": ""C2P19AE/C2P20AE/C2P21AE/C2P22AE"", ""compatiblePrinters"": ""OfficeJet Pro 6230, 6820, 6830""}",ACTIVE
HP-932-OJ-SET-COMP,طقم أحبار HP 932/933 للطابعات OfficeJet متوافق,HP 932/933 Compatible Ink Set for HP OfficeJet,"طقم حبر متوافق HP 932/933 يشمل الأسود والسيان والماجنتا والأصفر لطابعات OfficeJet 6100, 6600, 6700, 7110, 7510, 7610, 7612.","Compatible HP 932/933 ink set (CMYK) for HP OfficeJet 6100, 6600, 6700, 7110, 7510, 7610, 7612.",hp,ink-cartridges,2880,FALSE,COMPATIBLE,"{""colors"": ""CMYK"", ""partNumbers"": ""CN057AE/CN058AE/CN059AE/CN060AE"", ""compatiblePrinters"": ""OfficeJet 6100, 6600, 6700, 7110, 7510, 7610, 7612""}",ACTIVE
HP-938-OJ-SET-COMP,طقم أحبار HP 938 للطابعات OfficeJet متوافق,HP 938 Compatible Ink Set for HP OfficeJet,"طقم حبر متوافق HP 938 يشمل الأسود والسيان والماجنتا والأصفر لطابعات OfficeJet Pro 9110b, 9120b, 9130b.","Compatible HP 938 ink set (CMYK) for HP OfficeJet Pro 9110b, 9120b, 9130b.",hp,ink-cartridges,3450,FALSE,COMPATIBLE,"{""colors"": ""CMYK"", ""partNumbers"": ""HP 938 series"", ""compatiblePrinters"": ""OfficeJet Pro 9110b, 9120b, 9130b""}",ACTIVE
HP-912-OJ-SET-COMP,طقم أحبار HP 912 للطابعات OfficeJet متوافق,HP 912 Compatible Ink Set for HP OfficeJet,"طقم حبر متوافق HP 912 يشمل الأسود والسيان والماجنتا والأصفر لطابعات OfficeJet 8010, 8012, 8013, 8014, 8015, 8022, 8023, 8024, 8025.","Compatible HP 912 ink set (CMYK) for HP OfficeJet 8010, 8012, 8013, 8014, 8015, 8022, 8023, 8024, 8025.",hp,ink-cartridges,4140,FALSE,COMPATIBLE,"{""colors"": ""CMYK"", ""partNumbers"": ""3YL77AE/3YL78AE/3YL79AE/3YL80AE"", ""compatiblePrinters"": ""OfficeJet 8010, 8012, 8013, 8014, 8015, 8022, 8023, 8024, 8025""}",ACTIVE
EPSON-T103-SET-COMP,طقم حبر Epson 103 متوافق,Epson 103 Compatible EcoTank Bottle Set,"طقم حبر Epson 103 EcoTank يشمل الأسود والسيان والماجنتا والأصفر للطابعات Epson L1110, L3100, L3110, L3150, L5190.","Compatible Epson 103 ink bottle set (CMYK) for EcoTank L1110, L3100, L3110, L3150, L5190.",epson,ink-cartridges,980,FALSE,COMPATIBLE,"{""colors"": ""CMYK"", ""partNumber"": ""T00S14A10"", ""compatiblePrinters"": ""Epson L1110, L3100, L3110, L3150, L5190"", ""type"": ""EcoTank Bottle Set""}",ACTIVE
BROTHER-BT60-BT5000-SET-COMP,طقم حبر Brother BTD60 / BT5000 متوافق,Brother BTD60 / BT5000 Compatible Ink Bottle Set,"طقم حبر Brother BTD60BK وBT5000 للطابعات DCP-T310, T510W, T710W, MFC-T910DW.","Compatible Brother BTD60BK/BT5000 ink set for DCP-T310, T510W, T710W, MFC-T910DW.",brother,ink-cartridges,1040,FALSE,COMPATIBLE,"{""colors"": ""CMYK"", ""partNumbers"": ""BTD60BK/BT5000C/BT5000M/BT5000Y"", ""compatiblePrinters"": ""Brother DCP-T310, T510W, T710W, MFC-T910DW"", ""type"": ""InkBenefit Tank""}",ACTIVE
CANON-PG490-CL491-SET-COMP,طقم حبر Canon PG-490 / CL-491 متوافق,Canon PG-490 / CL-491 Compatible Ink Cartridge Set,"طقم حبر Canon PG-490 وCL-491 للطابعات PIXMA E3140, E3340, E4240.","Compatible Canon PG-490 / CL-491 ink set for PIXMA E3140, E3340, E4240.",canon,ink-cartridges,800,FALSE,COMPATIBLE,"{""colors"": ""Black + Tri-color"", ""partNumbers"": ""PG-490 / CL-491"", ""compatiblePrinters"": ""PIXMA E3140, E3340, E4240""}",ACTIVE
HP-GT51-GT52-SET-COMP,طقم حبر HP GT51 / GT52 متوافق,HP GT51 / GT52 Compatible Ink Bottle Set,"طقم حبر HP GT51 وGT52 للطابعات HP Ink Tank 115, 315, 319, 415, 419.","Compatible HP GT51 / GT52 ink bottle set for HP Ink Tank 115, 315, 319, 415, 419.",hp,ink-cartridges,860,FALSE,COMPATIBLE,"{""colors"": ""CMYK"", ""partNumbers"": ""GT51XL / GT52"", ""compatiblePrinters"": ""HP Ink Tank 115, 315, 319, 415, 419"", ""type"": ""Bottle Set""}",ACTIVE
HP-123-SET-COMP,طقم حبر HP 123 متوافق,HP 123 Compatible Ink Cartridge Set,"طقم حبر HP 123 (أسود + ثلاثي الألوان) للطابعات DeskJet 1110, 2130, 3630, 3720.","Compatible HP 123 ink set (Black + Tri-color) for DeskJet 1110, 2130, 3630, 3720.",hp,ink-cartridges,1040,FALSE,COMPATIBLE,"{""colors"": ""Black + Tri-color"", ""partNumbers"": ""F6V16AE / F6V17AE"", ""compatiblePrinters"": ""DeskJet 1110, 2130, 3630, 3720""}",ACTIVE
HP-122-SET-COMP,طقم حبر HP 122 متوافق,HP 122 Compatible Ink Cartridge Set,"طقم حبر HP 122 (أسود + ثلاثي الألوان) للطابعات DeskJet 1000, 1050, 2000, 2050, 3000.","Compatible HP 122 ink set (Black + Tri-color) for DeskJet 1000, 1050, 2000, 2050, 3000.",hp,ink-cartridges,1040,FALSE,COMPATIBLE,"{""colors"": ""Black + Tri-color"", ""partNumbers"": ""CH561HE / CH562HE"", ""compatiblePrinters"": ""DeskJet 1000, 1050, 2000, 2050, 3000""}",ACTIVE
HP-650-SET-COMP,طقم حبر HP 650 متوافق,HP 650 Compatible Ink Cartridge Set,"طقم حبر HP 650 (أسود + ثلاثي الألوان) للطابعات DeskJet Ink Advantage 1015, 1515, 2515, 2545, 2645, 3515, 3545, 4515.","Compatible HP 650 ink set for DeskJet Ink Advantage 1015, 1515, 2515, 2545, 2645, 3515, 3545, 4515.",hp,ink-cartridges,920,FALSE,COMPATIBLE,"{""colors"": ""Black + Tri-color"", ""partNumbers"": ""CZ101AE / CZ102AE"", ""compatiblePrinters"": ""DeskJet Ink Advantage 1015, 1515, 2515, 2545, 2645, 3515, 3545, 4515""}",ACTIVE
HP-652-SET-COMP,طقم حبر HP 652 متوافق,HP 652 Compatible Ink Cartridge Set,"طقم حبر HP 652 (أسود + ثلاثي الألوان) للطابعات DeskJet Ink Advantage 1115, 2135, 3635, 3785, 3835, 4535.","Compatible HP 652 ink set for DeskJet Ink Advantage 1115, 2135, 3635, 3785, 3835, 4535.",hp,ink-cartridges,920,FALSE,COMPATIBLE,"{""colors"": ""Black + Tri-color"", ""partNumbers"": ""F6V25AE / F6V24AE"", ""compatiblePrinters"": ""DeskJet Ink Advantage 1115, 2135, 3635, 3785, 3835, 4535""}",ACTIVE
